State,County,deedInstrument,aulInstrument,eLienInstrument,easeInstrument,leaseInstrument,lienInstrument,miscInstrument,mortgageInstrument,relatedInstrument
SC,Abbeville,371,,,,,,,,
LA,Acadia,878047,,,,,,,,
LA,Acadia,817775,,,,,,,,
LA,Acadia,834847,,,,,,,,
LA,Acadia,576305,,,,,,,,
LA,Acadia,678423,,,,,,,,
LA,Acadia,12106,,,,,,,,
LA,Acadia,10830,,,,,,,,
LA,Acadia,123118,,,,,,,,
LA,Acadia,896235,,,,,,,,
LA,Acadia,836316A,,,,,,,,
LA,Acadia,912922,,,,,,,,
LA,Acadia,815323,,,,,,,,
VA,Accomack,220003432,,,,,,,,
VA,Accomack,200308787,,,,,,,,
VA,Accomack,200308790,,,,,,,,
VA,Accomack,210005597,,,,,,,220000546,
VA,Accomack,2003-08788,,,,,,,,
VA,Accomack,200308791,,,,,,,,
VA,Accomack,200308789,,,,,,,,
VA,Accomack,200605653,,,,,,,,
VA,Accomack,130003235,,,,,,,,
VA,Accomack,2008-03673,,,,,,,,
VA,Accomack,2013-03232,,,,,,,,
VA,Accomack,2002-07878,,,,,,,,
VA,Accomack,50006631,,,,,,,50008636,
VA,Accomack,,,,,,,,50008637,
VA,Accomack,201004959,,,,,,,,
VA,Accomack,210002076,,,,,,,,
VA,Accomack,201402501,,,,,,,,
VA,Accomack,110003591,,,,,,,,
VA,Accomack,130005298,,,,,,,,
VA,Accomack,1700001952,,,,,,,,
VA,Accomack,2016-003928,,,,,,,,
VA,Accomack,20180003308,,,,,,,,
VA,Accomack,201303582,,,,,180000086,,180004775,
ID,Ada,2018-011965,,,,,,,2018-011966,2022-021372
ID,Ada,2023-011099,,,,,,,,
ID,Ada,2023-018738,,,,,,,,
ID,Ada,2016-095423,,,,,,,,
ID,Ada,2020-127148,,,,,,,2020-127149,2022-077820
ID,Ada,2019-024304,,,,,,,2022-004725,
ID,Ada,2021-090345,,,,,,,2021-090346,2021-090347
ID,Ada,2021-125106,,,,,,,2020-143910,
ID,Ada,2018-053477,,,,,,,,
ID,Ada,112010412,,,,,,112010415,112010413,2019-008703
ID,Ada,110066300,,,,,,,,
ID,Ada,2017-099931,,,,,,,,
ID,Ada,2018-112161,,,,,,,,
ID,Ada,2014-114051032,,,,,,,,
ID,Ada,1040996499,,,,,,,,
ID,Ada,2016042628,,,,,,,,
ID,Ada,103109317,,,,,,,,
ID,Ada,9206119,,,,,2015-068444,,,
ID,Ada,106165763,,,,,,,,
ID,Ada,2019-074026,,,,,,,2019-073355,
ID,Ada,2019-073354,,,,,,,,
ID,Ada,2018-027842,,,,,,,,
ID,Ada,2018-016404,,,,,,,,
ID,Ada,1988-8834518,,,,,,,,
ID,Ada,1989-8936861,,,,,,,,
ID,Ada,1989-8954600,,,,,,,,
ID,Ada,1991-9139141,,,,,,,,
ID,Ada,2020-050963,,,,,,,,
ID,Ada,2018-086860,,,,,,,,
ID,Ada,1991000206,,,,,,,,
ID,Ada,2019-065406,,,,,,,,
ID,Ada,2017-124206,,,,,,,,
ID,Ada,102149375,,,,,,,109107580,
ID,Ada,2019-078269,,,,,,,,
ID,Ada,2020-042764,,,,,,,,
ID,Ada,106142022,,,,,,,,
ID,Ada,2018-044722,,,,,,,,
ID,Ada,2002-102081724,,,,,,,2021-062870,
ID,Ada,2017-030488,,,,,,,,
ID,Ada,2021-163171,,,,,,,2021-163172,
ID,Ada,1802001188,,,,,,,,
ID,Ada,2018-038977,,,,,,,,
ID,Ada,2022-062201,,,,,,,2022-062202,2022-064766
ID,Ada,2019-081754,,,,,,,2019-081755,
ID,Ada,2019-116347,,,,,,,,
ID,Ada,2020-129844,,,,,,,,
ID,Ada,2020-141064,,,,,,,2020-141065,
ID,Ada,2018-075712,,,,,,,,
ID,Ada,2011-111025602,,,,,,,2013-113060154,
ID,Ada,2011-111025601,,,,,,,,
ID,Ada,2012-112120807,,,,,,,2012-112120808,
ID,Ada,2020-029470,,,,,,,,
ID,Ada,2009-109018931,,,,,,,,
ID,Ada,2020-181662,,,,,,,,
ID,Ada,2017-008514,,,,,,,,
ID,Ada,2015-001381,,,,,,,,
ID,Ada,2021-180800,,,,,,,,
ID,Ada,2007-10713639,,,,,,,,
ID,Ada,2005-105195867,,,,,,,,
ID,Ada,1990-9070992,,,,,,,,
ID,Ada,2007-107136369,,,,,,,,
ID,Ada,2021-181345,,,,,,,,
ID,Ada,2000-100016639,,,,,,,,
ID,Ada,2016-001622,102092801,,,,,,,
ID,Ada,2022-003973,,,,,,,2022-003974,
ID,Ada,101132035,,,,,,,,
ID,Ada,103104273,,,,,,,,
ID,Ada,96022422,,,,,,,,
ID,Ada,96022423,,,,,,,,
ID,Ada,2017-087117,,,,,,,,
ID,Ada,108126559,,,,,,,,
ID,Ada,108126560,,,,,,,,
ID,Ada,2022-029501,,,,,,,2021-178827,
ID,Ada,2021-178826,,,,,,,,
ID,Ada,108073577,,,,,,,,
ID,Ada,107016107,,,,,,,,
ID,Ada,106196982,,,,,,,,
ID,Ada,105121448,,,,,,,,
ID,Ada,105085916,,,,,,,,
ID,Ada,2021-164720,,,,,,,,
ID,Ada,2022-015449,,,,,,,,
ID,Ada,2022-024826,,,,,,,,
ID,Ada,2019-062489,,,,,,,,
ID,Ada,100073838,,,,,,,,
ID,Ada,2016-039357,,,,,,,,
ID,Ada,95015234,,,,,,,,
ID,Ada,2018-009443,,,,,,,,
ID,Ada,99054149,,,,,,,,
ID,Ada,103058215,,,,,,,,
ID,Ada,114030801,,,,,,,,
ID,Ada,110107653,,,,,,,,
ID,Ada,2016-074997,,,,,,,2016-074998,
ID,Ada,2016-074996,,,,,,,2021-059748,
ID,Ada,94038589,,,,,,,,
ID,Ada,114045652,,,,,,,,
ID,Ada,106019077,,,,,,,,
ID,Ada,2017-115928,2016-064786,,,,,,,
ID,Ada,2020181911,,,,,,,,
ID,Ada,105031232,,,,,,,,
ID,Ada,2018-092207,,,,,,,,
ID,Ada,2019-113490,,,,,,2019-113491,2020-138282,
ID,Ada,108087268,,,,,,,,
ID,Ada,106010152,,,,,,,,
ID,Ada,2019-097300,,,,,,,2019-097301,
ID,Ada,2011-111079006,,,,,,,,
ID,Ada,2017-091718,,,,,,,2019-064555,
ID,Ada,2020-175434,,,,,,,,
ID,Ada,2011-111066565,,,,,,,2011-111066566,
ID,Ada,2018-014430,,,,,,,2011-111067045,
